NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05780982,900190,24000,3,1,
05780982,900190,24000,4,1,
05780982,900190,24000,5,1,
05780982,980000,58800,1,1,
05780982,980000,58800,2,1,
05780982,980000,58800,3,1,
05780982,980000,58800,4,1,
05780982,980000,58800,5,1,
05781011,900000,100000,1,1,
05781011,900000,100000,2,1,
05781011,900000,100000,3,1,
05781011,900000,100000,4,1,
05781011,900000,100000,5,1,
05781011,980000,100000,1,1,
05781011,980000,100000,2,1,
05781011,980000,100000,3,1,
05781011,980000,100000,4,1,
05781011,980000,100000,5,1,
05781012,900000,100000,1,1,
05781012,900000,100000,2,1,
05781012,900000,100000,3,1,
05781012,900000,100000,4,1,
05781012,900000,100000,5,1,
05781012,980000,100000,1,1,
05781012,980000,100000,2,1,
05781012,980000,100000,3,1,
05781012,980000,100000,4,1,
05781012,980000,100000,5,1,
05781021,900000,6000,1,1,
05781021,900000,6000,2,1,
05781021,900000,6000,3,1,
05781021,900000,6000,4,1,
05781021,900000,6000,5,1,
05781021,900030,16832,1,1,
05781021,900030,15380,2,1,
05781021,900030,17240,3,1,
05781021,900030,14348,4,1,
05781021,900030,16844,5,1,
05781021,980000,22832,1,1,
05781021,980000,21380,2,1,
05781021,980000,23240,3,1,
05781021,980000,20348,4,1,
05781021,980000,22844,5,1,
05781022,900000,6000,1,1,
05781022,900000,6000,2,1,
05781022,900000,6000,3,1,
05781022,900000,6000,4,1,
05781022,900000,6000,5,1,
05781022,900030,17312,1,1,
05781022,900030,14924,2,1,
05781022,900030,15404,3,1,
05781022,900030,14096,4,1,
05781022,900030,14492,5,1,
05781022,980000,23312,1,1,
05781022,980000,20924,2,1,
05781022,980000,21404,3,1,
05781022,980000,20096,4,1,
05781022,980000,20492,5,1,
05781071,900000,181157,1,1,
05781071,900000,157050,2,1,
05781071,900000,170412,3,1,
05781071,900000,155845,4,1,
05781071,900000,155931,5,1,
05781071,900140,20000,1,1,
05781071,900140,20000,2,1,
05781071,900140,20000,3,1,
05781071,900140,20000,4,1,
05781071,900140,20000,5,1,
05781071,900180,1495,1,1,
05781071,900180,1037,2,1,
05781071,900180,1794,3,1,
05781071,900180,1660,4,1,
05781071,900180,1187,5,1,
05781071,980000,202652,1,1,
05781071,980000,178087,2,1,
05781071,980000,192206,3,1,
05781071,980000,177505,4,1,
05781071,980000,177118,5,1,
05781072,900000,157616,1,1,
05781072,900000,153201,2,1,
05781072,900000,152762,3,1,
05781072,900000,157715,4,1,
05781072,900000,155577,5,1,
05781072,900140,20000,1,1,
05781072,900140,20000,2,1,
05781072,900140,20000,3,1,
05781072,900140,20000,4,1,
05781072,900140,20000,5,1,
05781072,900180,1172,1,1,
05781072,900180,1017,2,1,
05781072,900180,1710,3,1,
05781072,900180,1431,4,1,
05781072,900180,1778,5,1,
05781072,980000,178788,1,1,
05781072,980000,174218,2,1,
05781072,980000,174472,3,1,
05781072,980000,179146,4,1,
05781072,980000,177355,5,1,
05781081,900000,85000,1,1,
05781081,900000,85000,2,1,
05781081,900000,85000,3,1,
05781081,900000,85000,4,1,
05781081,900000,85000,5,1,
05781081,900030,35696,1,1,
05781081,900030,35696,2,1,
05781081,900030,35696,3,1,
05781081,900030,35696,4,1,
05781081,900030,35696,5,1,
05781081,980000,120696,1,1,
05781081,980000,120696,2,1,
05781081,980000,120696,3,1,
05781081,980000,120696,4,1,
05781081,980000,120696,5,1,
05781082,900000,85000,1,1,
05781082,900000,85000,2,1,
05781082,900000,85000,3,1,
05781082,900000,85000,4,1,
05781082,900000,85000,5,1,
05781082,900030,35696,1,1,
05781082,900030,35696,2,1,
05781082,900030,35696,3,1,
05781082,900030,35696,4,1,
05781082,900030,35696,5,1,
05781082,980000,120696,1,1,
05781082,980000,120696,2,1,
05781082,980000,120696,3,1,
05781082,980000,120696,4,1,
05781082,980000,120696,5,1,
05781171,900000,68000,1,1,
05781171,900000,68000,2,1,
05781171,900000,68000,3,1,
05781171,900000,68000,4,1,
05781171,900000,68000,5,1,
05781171,900180,100,1,1,
05781171,900180,100,2,1,
05781171,900180,100,3,1,
05781171,900180,100,4,1,
05781171,900180,100,5,1,
05781171,980000,68100,1,1,
05781171,980000,68100,2,1,
05781171,980000,68100,3,1,
05781171,980000,68100,4,1,
05781171,980000,68100,5,1,
05781172,900000,68000,1,1,
05781172,900000,68000,2,1,
05781172,900000,68000,3,1,
05781172,900000,68000,4,1,
05781172,900000,68000,5,1,
05781172,900180,100,1,1,
05781172,900180,100,2,1,
05781172,900180,100,3,1,
05781172,900180,100,4,1,
05781172,900180,100,5,1,
05781172,980000,68100,1,1,
05781172,980000,68100,2,1,
05781172,980000,68100,3,1,
05781172,980000,68100,4,1,
05781172,980000,68100,5,1,
05781271,900000,98000,1,1,
05781271,900000,98000,2,1,
05781271,900000,98000,3,1,
05781271,900000,98000,4,1,
05781271,900000,98000,5,1,
05781271,980000,98000,1,1,
05781271,980000,98000,2,1,
05781271,980000,98000,3,1,
05781271,980000,98000,4,1,
05781271,980000,98000,5,1,
05781272,900000,98000,1,1,
05781272,900000,98000,2,1,
05781272,900000,98000,3,1,
05781272,900000,98000,4,1,
05781272,900000,98000,5,1,
05781272,980000,98000,1,1,
05781272,980000,98000,2,1,
05781272,980000,98000,3,1,
05781272,980000,98000,4,1,
05781272,980000,98000,5,1,
05781291,900000,101505,1,1,
05781291,900000,111755,2,1,
05781291,900000,108339,3,1,
05781291,900000,106711,4,1,
05781291,900000,96226,5,1,
05781291,900180,42,1,1,
05781291,900180,171,2,1,
05781291,900180,108,3,1,
05781291,900180,125,4,1,
05781291,900180,73,5,1,
05781291,980000,101547,1,1,
05781291,980000,111926,2,1,
05781291,980000,108447,3,1,
05781291,980000,106836,4,1,
05781291,980000,96299,5,1,
05781292,900000,98428,1,1,
05781292,900000,103795,2,1,
05781292,900000,113848,3,1,
05781292,900000,106692,4,1,
05781292,900000,103813,5,1,
05781292,900180,39,1,1,
05781292,900180,60,2,1,
05781292,900180,128,3,1,
05781292,900180,684,4,1,
05781292,900180,12,5,1,
05781292,980000,98467,1,1,
05781292,980000,103855,2,1,
05781292,980000,113976,3,1,
05781292,980000,107376,4,1,
05781292,980000,103825,5,1,
05781311,900030,43936,1,1,
05781311,900030,43936,2,1,
05781311,900030,43936,3,1,
05781311,900030,43936,4,1,
05781311,900030,43936,5,1,
05781311,900170,36180,1,1,
05781311,900170,36180,2,1,
05781311,900170,36180,3,1,
05781311,900170,36180,4,1,
05781311,900170,36180,5,1,
05781311,900180,25,1,1,
05781311,900180,25,2,1,
05781311,900180,25,3,1,
05781311,900180,25,4,1,
05781311,900180,25,5,1,
05781311,900210,7035,1,1,
05781311,900210,7035,2,1,
05781311,900210,7035,3,1,
05781311,900210,7035,4,1,
05781311,900210,7035,5,1,
05781311,980000,87176,1,1,
05781311,980000,87176,2,1,
05781311,980000,87176,3,1,
05781311,980000,87176,4,1,
05781311,980000,87176,5,1,
05781312,900030,43936,1,1,
05781312,900030,43936,2,1,
05781312,900030,43936,3,1,
05781312,900030,43936,4,1,
05781312,900030,43936,5,1,
05781312,900170,36180,1,1,
05781312,900170,36180,2,1,
05781312,900170,36180,3,1,
05781312,900170,36180,4,1,
05781312,900170,36180,5,1,
05781312,900180,25,1,1,
05781312,900180,25,2,1,
05781312,900180,25,3,1,
05781312,900180,25,4,1,
05781312,900180,25,5,1,
05781312,900210,7035,1,1,
05781312,900210,7035,2,1,
05781312,900210,7035,3,1,
05781312,900210,7035,4,1,
05781312,900210,7035,5,1,
05781312,980000,87176,1,1,
05781312,980000,87176,2,1,
05781312,980000,87176,3,1,
05781312,980000,87176,4,1,
05781312,980000,87176,5,1,
05781331,900030,22496,1,1,
05781331,900030,22496,2,1,
05781331,900030,22496,3,1,
05781331,900030,22496,4,1,
05781331,900030,22496,5,1,
05781331,980000,22496,1,1,
05781331,980000,22496,2,1,
05781331,980000,22496,3,1,
05781331,980000,22496,4,1,
05781331,980000,22496,5,1,
05781332,900030,22496,1,1,
05781332,900030,22496,2,1,
05781332,900030,22496,3,1,
05781332,900030,22496,4,1,
05781332,900030,22496,5,1,
05781332,980000,22496,1,1,
05781332,980000,22496,2,1,
05781332,980000,22496,3,1,
