NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05780982,900000,6000,,1
05780982,900030,28800,,1
05780982,900190,24000,,1
05780982,980000,58800,,1
05780982,980010,2,,1
05780982,980020,53,,1
05780982,980030,1,,1
05780982,980040,1,,1
05780982,980050,1,,1
05780982,980090,100,,1
05780982,980220,100,,1
05780982,980230,100,,1
05780982,980281,100,,1
05780982,980285,100,,1
05780982,980310,100,,1
05780982,980330,100,,1
05781011,900000,100000,,1
05781011,980000,100000,,1
05781011,980010,1,,1
05781011,980020,28,,1
05781011,980030,1,,1
05781011,980040,1,,1
05781011,980210,100,,1
05781011,980260,100,,1
05781011,980281,100,,1
05781011,980286,100,,1
05781011,980310,100,,1
05781011,980330,100,,1
05781012,900000,100000,,1
05781012,980000,100000,,1
05781012,980010,1,,1
05781012,980020,28,,1
05781012,980030,1,,1
05781012,980040,1,,1
05781012,980210,100,,1
05781012,980260,100,,1
05781012,980281,100,,1
05781012,980286,100,,1
05781012,980310,100,,1
05781012,980330,100,,1
05781021,900000,6000,,1
05781021,900030,16129,,1
05781021,980000,22129,,1
05781021,980010,2,,1
05781021,980020,56,,1
05781021,980030,1,,1
05781021,980090,100,,1
05781021,980210,100,,1
05781021,980230,100,,1
05781021,980281,100,,1
05781021,980285,100,,1
05781021,980300,100,,1
05781022,900000,6000,,1
05781022,900030,15246,,1
05781022,980000,21246,,1
05781022,980010,2,,1
05781022,980020,56,,1
05781022,980030,1,,1
05781022,980090,100,,1
05781022,980210,100,,1
05781022,980230,100,,1
05781022,980281,100,,1
05781022,980285,100,,1
05781022,980300,100,,1
05781071,900000,164079,,1
05781071,900140,20000,,1
05781071,900180,1435,,1
05781071,980000,185514,,1
05781071,980010,6,,1
05781071,980020,47,,1
05781071,980030,4,,1
05781071,980040,4,,1
05781071,980050,2,,1
05781071,980090,100,,1
05781071,980220,100,,1
05781071,980240,100,,1
05781071,980281,100,,1
05781071,980286,100,,1
05781071,980310,100,,1
05781071,980330,100,,1
05781072,900000,155374,,1
05781072,900140,20000,,1
05781072,900180,1422,,1
05781072,980000,176796,,1
05781072,980010,6,,1
05781072,980020,47,,1
05781072,980030,4,,1
05781072,980040,4,,1
05781072,980050,2,,1
05781072,980090,100,,1
05781072,980220,100,,1
05781072,980240,100,,1
05781072,980281,100,,1
05781072,980286,100,,1
05781072,980310,100,,1
05781072,980330,100,,1
05781081,900000,85000,,1
05781081,900030,35696,,1
05781081,980000,120696,,1
05781081,980010,2,,1
05781081,980020,76,,1
05781081,980030,2,,1
05781081,980040,2,,1
05781081,980060,1,,1
05781081,980210,100,,1
05781081,980260,100,,1
05781081,980281,100,,1
05781081,980286,100,,1
05781081,980310,100,,1
05781081,980330,100,,1
05781082,900000,85000,,1
05781082,900030,35696,,1
05781082,980000,120696,,1
05781082,980010,2,,1
05781082,980020,76,,1
05781082,980030,2,,1
05781082,980040,2,,1
05781082,980060,1,,1
05781082,980210,100,,1
05781082,980260,100,,1
05781082,980281,100,,1
05781082,980286,100,,1
05781082,980310,100,,1
05781082,980330,100,,1
05781171,800931,3091,,1
05781171,900000,68000,,1
05781171,900180,100,,1
05781171,980000,68100,,1
05781171,980010,1,,1
05781171,980020,30,,1
05781171,980030,1,,1
05781171,980040,1,,1
05781171,980210,100,,1
05781171,980260,100,,1
05781171,980281,100,,1
05781171,980286,100,,1
05781171,980310,100,,1
05781171,980330,100,,1
05781172,800931,3091,,1
05781172,900000,68000,,1
05781172,900180,100,,1
05781172,980000,68100,,1
05781172,980010,1,,1
05781172,980020,30,,1
05781172,980030,1,,1
05781172,980040,1,,1
05781172,980210,100,,1
05781172,980260,100,,1
05781172,980281,100,,1
05781172,980286,100,,1
05781172,980310,100,,1
05781172,980330,100,,1
05781271,800932,5500,,1
05781271,900000,98000,,1
05781271,980000,98000,,1
05781271,980010,1,,1
05781271,980020,29,,1
05781271,980030,1,,1
05781271,980040,1,,1
05781271,980210,100,,1
05781271,980260,100,,1
05781271,980281,100,,1
05781271,980286,100,,1
05781271,980310,100,,1
05781271,980330,100,,1
05781272,800932,5500,,1
05781272,900000,98000,,1
05781272,980000,98000,,1
05781272,980010,1,,1
05781272,980020,29,,1
05781272,980030,1,,1
05781272,980040,1,,1
05781272,980210,100,,1
05781272,980260,100,,1
05781272,980281,100,,1
05781272,980286,100,,1
05781272,980310,100,,1
05781272,980330,100,,1
05781291,900000,104907,,1
05781291,900180,104,,1
05781291,980000,105011,,1
05781291,980010,2,,1
05781291,980020,52,,1
05781291,980030,2,,1
05781291,980040,3,,1
05781291,980090,100,,1
05781291,980210,100,,1
05781291,980230,100,,1
05781291,980281,100,,1
05781291,980286,100,,1
05781291,980310,100,,1
05781291,980330,100,,1
05781292,900000,105315,,1
05781292,900180,185,,1
05781292,980000,105500,,1
05781292,980010,2,,1
05781292,980020,52,,1
05781292,980030,2,,1
05781292,980040,3,,1
05781292,980090,100,,1
05781292,980210,100,,1
05781292,980230,100,,1
05781292,980281,100,,1
05781292,980286,100,,1
05781292,980310,100,,1
05781292,980330,100,,1
05781311,900030,43936,,1
05781311,900170,36180,,1
05781311,900180,25,,1
05781311,900210,7035,,1
05781311,980000,87176,,1
05781311,980010,2,,1
05781311,980020,81,,1
05781311,980040,1,,1
05781311,980060,2,,1
05781311,980090,100,,1
05781311,980220,100,,1
05781311,980240,100,,1
05781311,980281,100,,1
05781311,980286,100,,1
05781311,980310,100,,1
05781311,980330,100,,1
05781312,900030,43936,,1
05781312,900170,36180,,1
05781312,900180,25,,1
05781312,900210,7035,,1
05781312,980000,87176,,1
05781312,980010,2,,1
05781312,980020,81,,1
05781312,980040,1,,1
05781312,980060,2,,1
05781312,980090,100,,1
05781312,980220,100,,1
05781312,980240,100,,1
05781312,980281,100,,1
05781312,980286,100,,1
05781312,980310,100,,1
05781312,980330,100,,1
05781331,900030,22496,,1
05781331,980000,22496,,1
05781331,980010,1,,1
05781331,980020,68,,1
05781331,980040,1,,1
05781331,980060,1,,1
05781331,980090,100,,1
05781331,980220,100,,1
05781331,980240,100,,1
05781331,980270,100,,1
05781331,980286,100,,1
05781331,980310,100,,1
05781331,980330,100,,1
05781332,900030,22496,,1
05781332,980000,22496,,1
05781332,980010,1,,1
05781332,980020,68,,1
05781332,980040,1,,1
05781332,980060,1,,1
05781332,980090,100,,1
05781332,980220,100,,1
05781332,980240,100,,1
05781332,980270,100,,1
05781332,980286,100,,1
05781332,980310,100,,1
05781332,980330,100,,1
05781371,800932,5000,,1
05781371,900000,109000,,1
05781371,900180,1436,,1
05781371,900220,2700,,1
05781371,980000,110436,,1
05781371,980010,3,,1
05781371,980020,44,,1
05781371,980030,2,,1
05781371,980040,2,,1
05781371,980050,1,,1
05781371,980090,100,,1
05781371,980220,100,,1
05781371,980230,100,,1
05781371,980282,100,,1
05781371,980286,100,,1
05781371,980310,100,,1
05781371,980330,100,,1
05781372,800932,5000,,1
05781372,900000,109000,,1
05781372,900180,1289,,1
05781372,900220,2700,,1
05781372,980000,110289,,1
05781372,980010,3,,1
05781372,980020,44,,1
05781372,980030,2,,1
05781372,980040,2,,1
05781372,980050,1,,1
05781372,980090,100,,1
05781372,980220,100,,1
05781372,980230,100,,1
05781372,980281,100,,1
05781372,980286,100,,1
05781372,980310,100,,1
05781372,980330,100,,1
05781461,900000,93326,,1
05781461,980000,93326,,1
05781461,980010,2,,1
05781461,980020,49,,1
05781461,980030,2,,1
05781461,980040,4,,1
05781461,980090,100,,1
05781461,980210,100,,1
05781461,980230,100,,1
05781461,980281,100,,1
05781461,980286,100,,1
05781461,980310,100,,1
05781461,980330,100,,1
05781462,900000,395875,T,1
05781462,980000,395875,T,1
05781462,980010,2,,1
05781462,980020,49,,1
05781462,980030,2,,1
05781462,980040,4,,1
05781462,980090,100,,1
05781462,980210,100,,1
05781462,980230,100,,1
05781462,980281,100,,1
05781462,980286,100,,1
05781462,980310,100,,1
05781462,980330,100,,1
05781521,900000,93493,,1
05781521,980000,93493,,1
05781521,980010,5,,1
05781521,980020,40,,1
05781521,980030,2,,1
05781521,980050,3,,1
05781521,980090,100,,1
05781521,980210,100,,1
05781521,980250,100,,1
05781521,980281,100,,1
05781521,980286,100,,1
05781521,980310,100,,1
05781522,900000,108821,,1
05781522,980000,108821,,1
05781522,980010,5,,1
05781522,980020,40,,1
05781522,980030,2,,1
05781522,980050,3,,1
05781522,980210,100,,1
05781522,980260,100,,1
05781522,980281,100,,1
05781522,980286,100,,1
05781522,980310,100,,1
05781541,900030,50254,,1
05781541,980000,50254,,1
05781541,980010,3,,1
05781541,980020,88,T,1
05781541,980060,2,,1
